county_code,test_rows,actual_approval_rate,predicted_approval_rate,error_rate,median_income,median_loan
6039.0,107,0.9065420560747663,0.8882134759398265,0.32710280373831774,120.5,415000.0
6029.0,353,0.8753541076487252,0.8930095762394306,0.3002832861189802,101.0,345000.0
6065.0,1131,0.883289124668435,0.8818648206275929,0.2891246684350133,134.0,515000.0
6073.0,1051,0.8924833491912464,0.8998270739086122,0.25689819219790677,187.0,685000.0
6037.0,1843,0.8817145957677699,0.8774776380191791,0.24525230602278894,190.0,685000.0
6019.0,298,0.9093959731543624,0.9094245984850314,0.24496644295302014,110.0,395000.0
6071.0,810,0.8925925925925926,0.8892263234121563,0.24074074074074073,127.0,445000.0
6111.0,252,0.9087301587301587,0.9135521070233413,0.21825396825396826,182.0,645000.0
6053.0,78,0.8589743589743589,0.8363382042600558,0.21794871794871795,169.5,590000.0
6047.0,80,0.9125,0.9107454023323953,0.2125,105.5,385000.0
6099.0,199,0.9045226130653267,0.8944860612177968,0.20603015075376885,108.0,415000.0
6031.0,68,0.9264705882352942,0.9267479198820451,0.20588235294117646,97.0,365000.0
6007.0,88,0.8522727272727273,0.9014416662129489,0.20454545454545456,114.0,330000.0
6059.0,726,0.8870523415977961,0.9045410214233168,0.20110192837465565,234.0,800000.0
6083.0,93,0.8924731182795699,0.8451398413988852,0.1935483870967742,149.0,585000.0
6013.0,411,0.9294403892944039,0.9140817540224161,0.1873479318734793,195.5,635000.0
6107.0,143,0.8671328671328671,0.9067087120838933,0.18181818181818182,93.0,365000.0
6115.0,58,1.0,0.9427823033826105,0.1724137931034483,113.0,430000.0
6001.0,430,0.9186046511627907,0.9181064419448376,0.1558139534883721,231.0,735000.0
6095.0,201,0.9154228855721394,0.9060218462081098,0.15422885572139303,157.5,535000.0
6077.0,339,0.9203539823008849,0.9263112546771677,0.14454277286135694,138.5,485000.0
6087.0,65,0.8923076923076924,0.9254780842707707,0.13846153846153847,209.0,735000.0
6075.0,175,0.9314285714285714,0.9460125195980073,0.13714285714285715,341.0,1015000.0
6081.0,197,0.9238578680203046,0.9307264196993735,0.13705583756345177,334.0,1185000.0
6067.0,635,0.925984251968504,0.9148426287990855,0.13385826771653545,126.0,445000.0
6089.0,61,0.9672131147540983,0.9359235855155303,0.13114754098360656,91.5,315000.0
6085.0,518,0.9111969111969112,0.9274782131652575,0.1138996138996139,302.0,1045000.0
6079.0,80,0.9125,0.9278238553553819,0.1125,194.0,705000.0
6017.0,96,0.9375,0.9342544598815342,0.10416666666666667,163.0,445000.0
6041.0,59,0.9491525423728814,0.954819614730649,0.1016949152542373,338.0,1005000.0
6061.0,269,0.929368029739777,0.9482217727429805,0.09293680297397769,148.5,495000.0
6113.0,71,0.8732394366197183,0.8595536048983184,0.08450704225352113,143.5,465000.0
6097.0,163,0.9631901840490797,0.9463746263845566,0.07975460122699386,169.0,575000.0
