dti_band,"(-0.001, 70.0]","(70.0, 80.0]","(80.0, 90.0]","(90.0, 97.0]","(97.0, 150.0]"
"(-0.001, 30.0]",0.9484621778886118,0.9478632478632478,0.9207792207792208,0.872113676731794,0.8571428571428571
"(30.0, 36.0]",0.9621672115833723,0.9543020349875044,0.9436379163108455,0.9172113289760349,0.9170616113744076
"(36.0, 43.0]",0.9595394736842106,0.9567327986492191,0.9443359375,0.9275629220380601,0.9402220324508966
"(43.0, 50.0]",0.9513417870834562,0.9497497914929107,0.9283018867924528,0.937192118226601,0.9138141809290954
"(50.0, 100.0]",0.4823348694316436,0.43472906403940886,0.5968790637191157,0.780384919588716,0.833666001330672
