bin,applications,predicted_rate,actual_rate,raw_predicted_rate
"(-0.001, 0.843]",1264,0.5317032819531292,0.5379746835443038,0.19518676
"(0.843, 0.888]",1124,0.8731097149467129,0.8825622775800712,0.4808992
"(0.888, 0.93]",1348,0.914957469533742,0.9109792284866469,0.5704601
"(0.93, 0.942]",1072,0.941600697254067,0.9402985074626866,0.62800425
"(0.942, 0.959]",1976,0.9585760235786438,0.9549595141700404,0.6760548
"(0.959, 0.962]",799,0.9616519212722778,0.9599499374217773,0.7119358
"(0.962, 0.968]",2804,0.9682079841423987,0.9657631954350927,0.7601384
"(0.968, 0.98]",867,0.9799480403858347,0.9792387543252595,0.8241009
"(0.98, 1.0]",349,0.9925505477924401,0.9799426934097422,0.8717301
