feature,mutual_information
dti_numeric,0.03308342200186032
loan_to_income,0.020509153213690956
income_vs_county_median,0.020013309535665824
loan_term,0.018826317536515758
log_income,0.015222793189061612
log_property_value,0.012940578638088729
income_decile,0.012777571158896661
high_dti_flag,0.012632061843645959
loan_vs_county_median,0.01191684552323724
property_value,0.01156288768293079
income,0.011267224173061807
down_payment_rate_proxy,0.0106257648174648
loan_amount_decile,0.007462543022277224
loan_amount,0.007140890863805538
log_loan_amount,0.006204288035029704
combined_loan_to_value_ratio,0.005726709109664663
county_median_loan,0.00278382686284262
high_ltv_flag,0.002569008478517709
county_median_income,0.0017751701254269392
county_applications,0.0017114831160205402
jumbo_proxy_flag,0.00043887453921831465
